AU01,AU02,AU04,AU06,AU07,AU10,AU12,AU14,AU15,AU17,AU23,browsAll,browsAU10,browsAU12,browsAU14,browsAU15,browsAU17,browsAU23
301.08081936214,400.346121966553,268.811404789097,127.240043604081,61.9284656958833,266.404026962649,221.970653573914,256.837031029831,213.225772801474,161.948755664533,196.041362928226,99.895383562892,188.487967390042,203.478522361129,188.682947275786,151.160745525265,167.58864408455,135.404053650465
272.993842780508,328.134920383374,276.672430396106,155.996681979036,151.405839728383,219.118600678135,286.424214093387,236.890081416861,121.926080037959,178.826376066031,157.588571547213,99.9220382319809,186.001809339571,170.070366343465,143.452033769765,133.042423860075,149.849968402021,118.468016013509
304.818181067655,373.910560996709,258.020433195411,166.174279811911,167.9863269499,244.908137435954,263.522372231976,217.461411151099,154.422407556375,150.665864856171,142.511796350446,97.0947619365402,188.955822214411,167.621541266636,158.586796202953,142.004074056586,159.517196047794,120.653691259391
291.946257019693,385.390755413025,285.110080224699,141.090823198631,139.511819323789,219.122766382092,230.59198279509,177.651062858989,175.011457586567,158.891545011544,178.237360839317,117.165469810167,183.15990753105,163.073228818428,188.923605319393,141.543048530806,167.008790668561,131.41637701694
